time,tl_id,chosen_action,pressure,upstream_sum,active_veh
696.0,J1,3,1,1,31
696.0,J2,2,1,1,31
696.0,J3,1,0,0,31
696.0,J4,0,0,0,31
701.0,J1,1,2,2,34
701.0,J2,0,2,2,34
701.0,J3,0,0,0,34
701.0,J4,1,1,1,34
706.0,J1,1,4,4,33
706.0,J2,0,1,1,33
706.0,J3,0,1,1,33
706.0,J4,1,0,0,33
711.0,J1,2,4,4,33
711.0,J2,1,3,3,33
711.0,J3,1,1,1,33
711.0,J4,0,2,2,33
716.0,J1,2,2,2,30
716.0,J2,1,1,1,30
716.0,J3,1,1,1,30
716.0,J4,0,0,0,30
721.0,J1,0,4,4,33
721.0,J2,2,2,2,33
721.0,J3,3,3,3,33
721.0,J4,0,1,1,33
726.0,J1,0,1,1,32
726.0,J2,2,1,1,32
726.0,J3,3,1,1,32
726.0,J4,0,0,0,32
731.0,J1,1,3,3,33
731.0,J2,0,2,2,33
731.0,J3,0,1,1,33
731.0,J4,1,1,1,33
736.0,J1,1,3,3,33
736.0,J2,0,1,1,33
736.0,J3,0,1,1,33
736.0,J4,1,0,0,33
741.0,J1,2,2,3,35
741.0,J2,1,3,3,35
741.0,J3,1,1,1,35
741.0,J4,0,1,1,35
746.0,J1,2,1,1,32
746.0,J2,1,3,3,32
746.0,J3,1,0,0,32
746.0,J4,0,0,0,32
751.0,J1,0,3,3,32
751.0,J2,3,4,4,32
751.0,J3,0,3,3,32
751.0,J4,0,0,0,32
756.0,J1,0,1,1,32
756.0,J2,3,1,1,32
756.0,J3,0,0,0,32
756.0,J4,0,0,0,32
761.0,J1,1,3,4,36
761.0,J2,0,2,2,36
761.0,J3,3,2,2,36
761.0,J4,0,1,1,36
766.0,J1,1,2,2,37
766.0,J2,0,3,3,37
766.0,J3,3,2,2,37
766.0,J4,1,2,2,37
771.0,J1,3,2,2,40
771.0,J2,2,4,4,40
771.0,J3,0,1,1,40
771.0,J4,1,0,0,40
776.0,J1,3,0,1,35
776.0,J2,2,2,2,35
776.0,J3,0,1,1,35
776.0,J4,0,0,0,35
781.0,J1,3,2,2,37
781.0,J2,1,4,4,37
781.0,J3,1,4,4,37
781.0,J4,0,1,1,37
786.0,J1,1,1,1,34
786.0,J2,1,2,2,34
786.0,J3,1,0,0,34
786.0,J4,3,1,1,34
791.0,J1,1,1,1,34
791.0,J2,3,3,3,34
791.0,J3,0,1,1,34
791.0,J4,3,0,0,34
796.0,J1,3,2,2,34
796.0,J2,3,2,2,34
796.0,J3,0,1,1,34
796.0,J4,0,0,0,34
801.0,J1,3,1,1,37
801.0,J2,1,4,4,37
801.0,J3,0,1,1,37
801.0,J4,0,1,1,37
806.0,J1,1,0,0,37
806.0,J2,1,2,2,37
806.0,J3,0,0,0,37
806.0,J4,1,3,3,37
811.0,J1,1,1,1,39
811.0,J2,0,4,4,39
811.0,J3,1,4,4,39
811.0,J4,1,0,0,39
816.0,J1,0,1,1,36
816.0,J2,0,2,2,36
816.0,J3,1,0,0,36
816.0,J4,0,0,0,36
821.0,J1,0,1,1,37
821.0,J2,2,3,3,37
821.0,J3,0,0,0,37
821.0,J4,0,1,1,37
826.0,J1,3,2,2,34
826.0,J2,2,1,1,34
826.0,J3,0,2,2,34
826.0,J4,1,3,3,34
831.0,J1,3,1,3,34
831.0,J2,1,3,3,34
831.0,J3,1,1,2,34
831.0,J4,1,1,1,34
836.0,J1,1,2,2,32
836.0,J2,1,1,1,32
836.0,J3,1,0,0,32
836.0,J4,0,2,2,32
841.0,J1,1,2,2,35
841.0,J2,0,3,3,35
841.0,J3,3,3,3,35
841.0,J4,0,1,1,35
846.0,J1,3,1,1,33
846.0,J2,0,1,1,33
846.0,J3,3,2,2,33
846.0,J4,0,0,0,33
851.0,J1,3,1,1,30
851.0,J2,1,2,2,30
851.0,J3,0,2,2,30
851.0,J4,0,0,0,30
